title,authors,arxiv_url,abstract,abstract_ja,figure1_or_table1
Multi-Domain Multi-Task Rehearsal for Lifelong Learning,"['Fan Lyu', 'Shuai Wang', 'Wei Feng', 'Zihan Ye', 'Fuyuan Hu', 'Song Wang']",https://arxiv.org/abs/2012.07236,"Rehearsal, seeking to remind the model by storing old knowledge in lifelong learning, is one of the most effective ways to mitigate catastrophic forgetting, i.e., biased forgetting of previous knowledge when moving to new tasks. However, the old tasks of the most previous rehearsal-based methods suffer from the unpredictable domain shift when training the new task. This is because these methods always ignore two significant factors. First, the Data Imbalance between the new task and old tasks that makes the domain of old tasks prone to shift. Second, the Task Isolation among all tasks will make the domain shift toward unpredictable directions; To address the unpredictable domain shift, in this paper, we propose Multi-Domain Multi-Task (MDMT) rehearsal to train the old tasks and new task parallelly and equally to break the isolation among tasks. Specifically, a two-level angular margin loss is proposed to encourage the intra-class/task compactness and inter-class/task discrepancy, which keeps the model from domain chaos. In addition, to further address domain shift of the old tasks, we propose an optional episodic distillation loss on the memory to anchor the knowledge for each old task. Experiments on benchmark datasets validate the proposed approach can effectively mitigate the unpredictable domain shift.",リハーサルは、生涯学習に古い知識を保存することでモデルを思い出させることを目的としており、壊滅的な忘却、つまり、新しいタスクに移動するときに以前の知識を偏って忘れることを軽減する最も効果的な方法の1つです。ただし、以前のリハーサルベースの方法の古いタスクは、新しいタスクをトレーニングするときに予測できないドメインシフトに悩まされます。これは、これらのメソッドが常に2つの重要な要素を無視するためです。まず、新しいタスクと古いタスクの間のデータの不均衡により、古いタスクのドメインがシフトしやすくなります。次に、すべてのタスク間でタスクを分離すると、ドメインが予測できない方向にシフトします。予測できないドメインシフトに対処するために、このホワイトペーパーでは、マルチドメインマルチタスク（MDMT）リハーサルを提案して、古いタスクと新しいタスクを並行して均等にトレーニングし、タスク間の分離を解消します。具体的には、クラス内/タスクのコンパクト性とクラス間/タスクの不一致を促進するために、2レベルの角度マージン損失が提案されます。これにより、モデルがドメインの混乱から保護されます。さらに、古いタスクのドメインシフトにさらに対処するために、各古いタスクの知識を固定するために、メモリ上のオプションの一時的な蒸留損失を提案します。ベンチマークデータセットでの実験は、提案されたアプローチが予測不可能なドメインシフトを効果的に軽減できることを検証します。,https://d3i71xaburhd42.cloudfront.net/22e06fa904f2022b63954a08543df4a2da63059e/1-Figure1-1.png
EfficientDeRain: Learning Pixel-Wise Dilation Filtering for High-Efficiency Single-Image Deraining,"['Qing Guo', 'Jingyang Sun', 'Felix Juefei-Xu', 'Lei Ma', 'Xiaofei Xie', 'Wei Feng', 'Yang Liu', 'Jianjun Zhao']",https://arxiv.org/abs/2009.09238,"Single-image deraining is rather challenging due to the unknown rain model. Existing methods often make specific assumptions of the rain model, which can hardly cover many diverse circumstances in the real world, making them have to employ complex optimization or progressive refinement. This, however, significantly affects these methods' efficiency and effectiveness for many efficiency-critical applications. To fill this gap, in this paper, we regard the single-image deraining as a general image-enhancing problem and originally propose a model-free deraining method, i.e., EfficientDeRain, which is able to process a rainy image within 10~ms (i.e., around 6~ms on average), over 80 times faster than the state-of-the-art method (i.e., RCDNet), while achieving similar de-rain effects. We first propose the novel pixel-wise dilation filtering. In particular, a rainy image is filtered with the pixel-wise kernels estimated from a kernel prediction network, by which suitable multi-scale kernels for each pixel can be efficiently predicted. Then, to eliminate the gap between synthetic and real data, we further propose an effective data augmentation method (i.e., RainMix) that helps to train network for real rainy image handling.We perform comprehensive evaluation on both synthetic and real-world rainy datasets to demonstrate the effectiveness and efficiency of our method. We release the model and code in this https URL.",雨のモデルが不明なため、単一画像の排水はかなり困難です。既存の方法は、雨モデルの特定の仮定を行うことが多く、現実世界の多くの多様な状況をカバーすることはほとんど不可能であるため、複雑な最適化または漸進的な改良を採用する必要があります。ただし、これは、多くの効率が重要なアプリケーションのこれらのメソッドの効率と有効性に大きく影響します。このギャップを埋めるために、この論文では、単一画像のドレインを一般的な画像強調問題と見なし、最初にモデルフリーのドレイン方法、つまり10ミリ秒以内に雨の画像を処理できるEfficientDeRainを提案します（つまり、 、平均で約6ミリ秒）、最先端の方法（つまり、RCDNet）よりも80倍以上高速でありながら、同様の雨水除去効果を実現します。最初に、新しいピクセル単位の膨張フィルタリングを提案します。特に、雨の画像は、カーネル予測ネットワークから推定されたピクセル単位のカーネルでフィルタリングされます。これにより、各ピクセルに適したマルチスケールカーネルを効率的に予測できます。次に、合成データと実際のデータのギャップをなくすために、実際の雨画像処理のためのネットワークのトレーニングに役立つ効果的なデータ拡張方法（RainMix）をさらに提案します。合成データセットと実際の雨データセットの両方について包括的な評価を実行します。私たちの方法の有効性と効率を示します。このhttpsURLでモデルとコードをリリースします。,https://d3i71xaburhd42.cloudfront.net/2fe2871e3e21a7ea79a2efa19d9b596749a8c0c5/1-Figure1-1.png
Understanding Deformable Alignment in Video Super-Resolution,"['Kelvin C.K. Chan', 'Xintao Wang', 'Ke Yu', 'Chao Dong', 'Chen Change Loy']",,,,
A SAT-Based Resolution of Lam's Problem,"['Curtis Bright', 'Kevin Cheung', 'Brett Stevens', 'Ilias Kotsireas', 'Vijay Ganesh']",https://arxiv.org/abs/2012.04715,"In 1989, computer searches by Lam, Thiel, and Swiercz experimentally resolved Lam's problem from projective geometry$\unicode{x2014}$the long-standing problem of determining if a projective plane of order ten exists. Both the original search and an independent verification in 2011 discovered no such projective plane. However, these searches were each performed using highly specialized custom-written code and did not produce nonexistence certificates. In this paper, we resolve Lam's problem by translating the problem into Boolean logic and use satisfiability (SAT) solvers to produce nonexistence certificates that can be verified by a third party. Our work uncovered consistency issues in both previous searches$\unicode{x2014}$highlighting the difficulty of relying on special-purpose search code for nonexistence results.",1989年、Lam、Thiel、およびSwierczによるコンピューター検索により、射影幾何学からLams問題が実験的に解決されました$ \ unicode {x2014} $ 10次の射影平面が存在するかどうかを判断するという長年の問題。 2011年の最初の検索と独立した検証の両方で、そのような射影平面は発見されませんでした。ただし、これらの検索はそれぞれ、高度に専門化されたカスタム作成コードを使用して実行され、存在しない証明書は生成されませんでした。このホワイトペーパーでは、問題をブール論理に変換することでLams問題を解決し、充足可能性（SAT）ソルバーを使用して、サードパーティが検証できる存在しない証明書を生成します。私たちの仕事は、以前の両方の検索で一貫性の問題を明らかにしました$ \ unicode {x2014} $存在しない結果について、特別な目的の検索コードに依存することの難しさを強調しています。,https://d3i71xaburhd42.cloudfront.net/90f75f22bf9788b2d00e528c9942e6e06ff818aa/3-Figure1-1.png
Nearest Neighbor Classifier Embedded Network for Active Learning,"['Fang Wan', 'Tianning Yuan', 'Mengying Fu', 'Xiangyang Ji', 'Qingming Huang', 'Qixiang Ye']",,,,
Shape-Pose Ambiguity in Learning 3D Reconstruction from Images,"['Yunjie Wu', 'Zhengxing Sun', 'Youcheng Song', 'Yunhan Sun', 'YiJie Zhong', 'Jinlong Shi']",,,,
Why Adversarial Interaction Creates Non-Homogeneous Patterns: A Pseudo-Reaction-Diffusion Model for Turing Instability,['Litu Rout'],https://arxiv.org/abs/2010.00521,"Long after Turing's seminal Reaction-Diffusion (RD) model, the elegance of his fundamental equations alleviated much of the skepticism surrounding pattern formation. Though Turing model is a simplification and an idealization, it is one of the best-known theoretical models to explain patterns as a reminiscent of those observed in nature. Over the years, concerted efforts have been made to align theoretical models to explain patterns in real systems. The apparent difficulty in identifying the specific dynamics of the RD system makes the problem particularly challenging. Interestingly, we observe Turing-like patterns in a system of neurons with adversarial interaction. In this study, we establish the involvement of Turing instability to create such patterns. By theoretical and empirical studies, we present a pseudo-reaction-diffusion model to explain the mechanism that may underlie these phenomena. While supervised learning attains homogeneous equilibrium, this paper suggests that the introduction of an adversary helps break this homogeneity to create non-homogeneous patterns at equilibrium. Further, we prove that randomly initialized gradient descent with over-parameterization can converge exponentially fast to an $\epsilon$-stationary point even under adversarial interaction. In addition, different from sole supervision, we show that the solutions obtained under adversarial interaction are not limited to a tiny subspace around initialization.",Turingsの独創的な反応拡散（RD）モデルのずっと後、彼の基本的な方程式の優雅さは、パターン形成を取り巻く懐疑論の多くを軽減しました。チューリングモデルは単純化と理想化ですが、自然界で観察されたパターンを彷彿とさせるパターンを説明するための最もよく知られた理論モデルの1つです。何年にもわたって、実際のシステムのパターンを説明するために理論モデルを調整するための協調的な努力がなされてきました。 RDシステムの特定のダイナミクスを特定することの明らかな難しさは、問題を特に困難にします。興味深いことに、敵対的な相互作用を持つニューロンのシステムでチューリングのようなパターンを観察します。この研究では、そのようなパターンを作成するためのチューリング不安定性の関与を確立します。理論的および経験的研究により、これらの現象の根底にあるメカニズムを説明するための疑似反応拡散モデルを提示します。教師あり学習は均一な平衡を達成しますが、この論文は、敵対者の導入がこの均一性を破り、平衡状態で不均一なパターンを作成するのに役立つことを示唆しています。さらに、過剰パラメータ化を使用してランダムに初期化された勾配降下法は、敵対的な相互作用の下でも、指数関数的に高速に停留点に収束できることを証明します。さらに、単独の監督とは異なり、敵対的な相互作用の下で得られたソリューションは、初期化の周りの小さな部分空間に限定されないことを示します。,https://d3i71xaburhd42.cloudfront.net/6c1f436852cfa88dec9b620125647bb7014ac2a7/12-Figure1-1.png
Building Interpretable Interaction Trees for Deep NLP Models,"['Die Zhang', 'HuiLin Zhou', 'Xiaoyi Bao', 'Da Huo', 'Ruizhao Chen', 'Hao Zhang', 'Xu Cheng', 'Mengyue Wu', 'Quanshi Zhang']",https://arxiv.org/abs/2007.04298,"This paper proposes a method to disentangle and quantify interactions among words that are encoded inside a DNN for natural language processing. We construct a tree to encode salient interactions extracted by the DNN. Six metrics are proposed to analyze properties of interactions between constituents in a sentence. The interaction is defined based on Shapley values of words, which are considered as an unbiased estimation of word contributions to the network prediction. Our method is used to quantify word interactions encoded inside the BERT, ELMo, LSTM, CNN, and Transformer networks. Experimental results have provided a new perspective to understand these DNNs, and have demonstrated the effectiveness of our method.",この論文は、自然言語処理のためにDNN内でエンコードされた単語間の相互作用を解きほぐして定量化する方法を提案します。 DNNによって抽出された顕著な相互作用をエンコードするツリーを構築します。文中の構成要素間の相互作用の特性を分析するために、6つのメトリックが提案されています。相互作用は、単語のシャープレイ値に基づいて定義されます。これは、ネットワーク予測への単語の寄与の不偏推定と見なされます。私たちの方法は、BERT、ELMo、LSTM、CNN、およびTransformerネットワーク内でエンコードされた単語の相互作用を定量化するために使用されます。実験結果は、これらのDNNを理解するための新しい視点を提供し、私たちの方法の有効性を示しています。,
Revisiting Dominance Pruning in Decoupled Search,['Daniel Gnad'],,"In classical planning as heuristic search, duplicate state pruning is a standard method to avoid unnecessarily handling the same state multiple times. In decoupled search, similar to symbolic search approaches, search nodes, called decoupled states, do not correspond to individual states, but to entire sets of states. As a result, duplicate state pruning cannot be applied in a straightforward manner. Instead, dominance pruning is employed, taking into account the state sets. We observe that the time required for dominance checking dominates the overall runtime, and propose two ways of tackling this issue. Our main contribution (1) is a stronger variant of dominance checking for optimal planning, where efficiency and pruning power are most crucial. The new variant greatly improves the latter, without incurring a computational overhead. Furthermore, (2) we develop and implement three methods that make the dominance check more efficient: exact duplicate checking, which, albeit resulting in weaker pruning, can pay off due to the use of hashing; avoiding the dominance check when leaf state spaces are invertible; and exploiting the transitivity of the dominance relation to only check against the relevant subset of visited decoupled states. We show empirically that all our improvements are indeed beneficial across many standard benchmark domains.",ヒューリスティック検索としての古典的な計画では、重複状態のプルーニングは、同じ状態を不必要に複数回処理することを回避するための標準的な方法です。分離検索では、シンボリック検索アプローチと同様に、分離状態と呼ばれる検索ノードは、個々の状態ではなく、状態のセット全体に対応します。その結果、重複状態のプルーニングを簡単な方法で適用することはできません。代わりに、状態セットを考慮して、優勢剪定が採用されます。優位性チェックに必要な時間がランタイム全体を支配していることを確認し、この問題に取り組む2つの方法を提案します。私たちの主な貢献（1）は、効率と剪定力が最も重要である最適な計画のための優勢チェックのより強力な変形です。新しいバリアントは、計算のオーバーヘッドを発生させることなく、後者を大幅に改善します。さらに、（2）ドミナンスチェックをより効率的にする3つの方法を開発および実装します。正確な重複チェック。プルーニングは弱くなりますが、ハッシュを使用することで成果を上げることができます。葉の状態空間が可逆である場合の優位性チェックを回避します。優勢関係の推移性を利用して、訪問した分離状態の関連するサブセットに対してのみチェックします。私たちは、すべての改善が実際に多くの標準ベンチマークドメインにわたって有益であることを経験的に示しています。,https://d3i71xaburhd42.cloudfront.net/4e245d17f57bfbfd97319e6961d8d6f69be38c9b/4-Figure1-1.png
Meta-Transfer Learning for Low-Resource Abstractive Summarization,"['Yi-Syuan Chen', 'Hong-Han Shuai']",,,,
