title,authors,arxiv_url,abstract
A Bilingual Generative Transformer for Semantic Sentence Embedding,"['John Wieting', 'Graham Neubig', 'Taylor Berg-Kirkpatrick']",http://arxiv.org/abs/1911.03895v1,"Semantic sentence embedding models encode natural language sentences into vectors, such that closeness in embedding space indicates closeness in the semantics between the sentences. Bilingual data offers a useful signal for learning such embeddings: properties shared by both sentences in a translation pair are likely semantic, while divergent properties are likely stylistic or language-specific. We propose a deep latent variable model that attempts to perform source separation on parallel sentences, isolating what they have in common in a latent semantic vector, and explaining what is left over with language-specific latent vectors. Our proposed approach differs from past work on semantic sentence encoding in two ways. First, by using a variational probabilistic framework, we introduce priors that encourage source separation, and can use our model's posterior to predict sentence embeddings for monolingual data at test time. Second, we use high-capacity transformers as both data generating distributions and inference networks -- contrasting with most past work on sentence embeddings. In experiments, our approach substantially outperforms the state-of-the-art on a standard suite of unsupervised semantic similarity evaluations. Further, we demonstrate that our approach yields the largest gains on more difficult subsets of these evaluations where simple word overlap is not a good indicator of similarity."
A Centering Approach for Discourse Structure-aware Coherence Modeling,"['Sungho Jeon', 'Michael Strube']",,
A Computational Approach to Understanding Empathy Expressed in Text-Based Mental Health Support,"['Ashish Sharma', 'Adam Miner', 'David Atkins', 'Tim Althoff']",http://arxiv.org/abs/2009.08441v1,"Empathy is critical to successful mental health support. Empathy measurement has predominantly occurred in synchronous, face-to-face settings, and may not translate to asynchronous, text-based contexts. Because millions of people use text-based platforms for mental health support, understanding empathy in these contexts is crucial. In this work, we present a computational approach to understanding how empathy is expressed in online mental health platforms. We develop a novel unifying theoretically-grounded framework for characterizing the communication of empathy in text-based conversations. We collect and share a corpus of 10k (post, response) pairs annotated using this empathy framework with supporting evidence for annotations (rationales). We develop a multi-task RoBERTa-based bi-encoder model for identifying empathy in conversations and extracting rationales underlying its predictions. Experiments demonstrate that our approach can effectively identify empathic conversations. We further apply this model to analyze 235k mental health interactions and show that users do not self-learn empathy over time, revealing opportunities for empathy training and feedback."
A Dataset for Tracking Entities in Open Domain Procedural Text,"['Niket Tandon', 'Keisuke Sakaguchi', 'Bhavana Dalvi', 'Dheeraj Rajagopal', 'Peter Clark', 'Michal Guerquin', 'Kyle Richardson', 'Eduard Hovy']",,
A Diagnostic Study of Explainability Techniques for Text Classification,"['Pepa Atanasova', 'Jakob Grue Simonsen', 'Christina Lioma', 'Isabelle Augenstein']",http://arxiv.org/abs/2009.13295v1,"Recent developments in machine learning have introduced models that approach human performance at the cost of increased architectural complexity. Efforts to make the rationales behind the models' predictions transparent have inspired an abundance of new explainability techniques. Provided with an already trained model, they compute saliency scores for the words of an input instance. However, there exists no definitive guide on (i) how to choose such a technique given a particular application task and model architecture, and (ii) the benefits and drawbacks of using each such technique. In this paper, we develop a comprehensive list of diagnostic properties for evaluating existing explainability techniques. We then employ the proposed list to compare a set of diverse explainability techniques on downstream text classification tasks and neural network architectures. We also compare the saliency scores assigned by the explainability techniques with human annotations of salient input regions to find relations between a model's performance and the agreement of its rationales with human ones. Overall, we find that the gradient-based explanations perform best across tasks and model architectures, and we present further insights into the properties of the reviewed explainability techniques."
A Joint Multiple Criteria Model in Transfer Learning for Cross-domain Chinese Word Segmentation,"['Kaiyu Huang', 'Degen Huang', 'Zhuang Liu', 'Fengran Mo']",,
A Knowledge-Aware Sequence-to-Tree Network for Math Word Problem Solving,"['Qinzhuo Wu', 'Qi Zhang', 'Jinlan Fu', 'Xuanjing Huang']",,
A Knowledge-driven Generative Model for Multi-implication Chinese Medical Procedure Entity Normalization,"['Jinghui Yan', 'Yining Wang', 'Lu Xiang', 'Yu Zhou', 'Chengqing Zong']",,
A Massive Collection of Cross-Lingual Web-Document Pairs,"['Ahmed El-Kishky', 'Vishrav Chaudhary', 'Francisco Guzmán', 'Philipp Koehn']",http://arxiv.org/abs/1911.06154v1,"Cross-lingual document alignment aims to identify pairs of documents in two distinct languages that are of comparable content or translations of each other. Small-scale efforts have been made to collect aligned document level data on a limited set of language-pairs such as English-German or on limited comparable collections such as Wikipedia. In this paper, we mine twelve snapshots of the Common Crawl corpus and identify web document pairs that are translations of each other. We release a new web dataset consisting of 54 million URL pairs from Common Crawl covering documents in 92 languages paired with English. We evaluate the quality of the dataset by measuring the quality of machine translations from models that have been trained on mined parallel sentence pairs from this aligned corpora and introduce a simple yet effective baseline for identifying these aligned documents. The objective of this dataset and paper is to foster new research in cross-lingual NLP across a variety of low, mid, and high-resource languages."
A Matter of Framing: The Impact of Linguistic Formalism on Probing Results,"['Ilia Kuznetsov', 'Iryna Gurevych']",http://arxiv.org/abs/2004.14999v1,"Deep pre-trained contextualized encoders like BERT (Delvin et al., 2019) demonstrate remarkable performance on a range of downstream tasks. A recent line of research in probing investigates the linguistic knowledge implicitly learned by these models during pre-training. While most work in probing operates on the task level, linguistic tasks are rarely uniform and can be represented in a variety of formalisms. Any linguistics-based probing study thereby inevitably commits to the formalism used to annotate the underlying data. Can the choice of formalism affect probing results? To investigate, we conduct an in-depth cross-formalism layer probing study in role semantics. We find linguistically meaningful differences in the encoding of semantic role- and proto-role information by BERT depending on the formalism and demonstrate that layer probing can detect subtle differences between the implementations of the same linguistic formalism. Our results suggest that linguistic formalism is an important dimension in probing studies, along with the commonly used cross-task and cross-lingual experimental settings."
A Method for Building a Commonsense Inference Dataset based on Basic Events,"['Kazumasa Omura', 'Daisuke Kawahara', 'Sadao Kurohashi']",,
