title,authors,url,abstract,abstract_ja,avg_rating,figure1_or_table1
How Neural Networks Extrapolate: From Feedforward to Graph Neural Networks,"['Keyulu Xu', 'Mozhi Zhang', 'Jingling Li', 'Simon Shaolei Du', 'Ken-Ichi Kawarabayashi', 'Stefanie Jegelka']",https://openreview.net/forum?id=UH-cmocLJC,"We study how neural networks trained by gradient descent  extrapolate, i.e., what they learn outside the support of the training distribution. Previous works report mixed empirical results when extrapolating with neural networks: while multilayer perceptrons (MLPs) do not extrapolate well in certain simple tasks, Graph Neural Network (GNN), a structured network with MLP modules, has shown some success in more complex tasks.  Working towards a theoretical explanation, we identify conditions under which MLPs and GNNs extrapolate well. First, we quantify the observation that ReLU MLPs quickly converge to linear functions along any direction from the origin, which implies that ReLU MLPs do not extrapolate most non-linear functions. But, they provably learn a linear target function when the training distribution is sufficiently ""diverse"". Second, in connection to analyzing successes and limitations of GNNs, these results suggest a hypothesis for which we provide theoretical and empirical evidence: the success of GNNs in extrapolating algorithmic tasks to new data (e.g., larger graphs or edge weights) relies on encoding task-specific non-linearities in the architecture or features. Our theoretical analysis builds on a connection of overparameterized networks to the neural tangent kernel. Empirically, our theory holds across different training settings.",勾配降下法によってトレーニングされたニューラルネットワークがどのように外挿するか、つまり、トレーニング分布のサポート外で学習することを研究します。以前の研究では、ニューラルネットワークで外挿すると、さまざまな経験的結果が報告されています。多層パーセプトロン（MLP）は特定の単純なタスクではうまく外挿できませんが、MLPモジュールを備えた構造化ネットワークであるグラフニューラルネットワーク（GNN）は、より複雑なタスクである程度の成功を収めています。理論的な説明に向けて、MLPとGNNが適切に外挿する条件を特定します。まず、ReLU MLPが原点から任意の方向に沿って線形関数にすばやく収束するという観察結果を定量化します。これは、ReLUMLPがほとんどの非線形関数を外挿しないことを意味します。しかし、トレーニング分布が十分に「多様」である場合、彼らは線形ターゲット関数を確実に学習します。第二に、GNNの成功と制限の分析に関連して、これらの結果は、理論的および経験的証拠を提供する仮説を示唆しています。アルゴリズムタスクを新しいデータ（たとえば、より大きなグラフやエッジの重み）に外挿する際のGNNの成功は、エンコードタスクに依存します。 -アーキテクチャまたは機能の特定の非線形性。私たちの理論的分析は、パラメータ化されたネットワークのニューラルタンジェントカーネルへの接続に基づいています。経験的に、私たちの理論はさまざまなトレーニング設定に当てはまります。,8.75,https://d3i71xaburhd42.cloudfront.net/e307bc8b8371b91ada2c0f165998d07b81ba14cd/4-Figure1-1.png
Dataset Condensation with Gradient Matching,"['Bo Zhao', 'Konda Reddy Mopuri', 'Hakan Bilen']",https://openreview.net/forum?id=mSAKhLYLSsl,"As the state-of-the-art machine learning methods in many fields rely on larger datasets, storing them and training models on them becomes more expensive. This paper proposes a training set synthesis technique for \emph{data-efficient} learning, called \emph{Dataset Condensation}, that learns to condense a large dataset into a small set of informative samples for training deep neural networks from scratch. We formulate this goal as a gradient matching problem between the gradients of a deep neural network trained on the original data and our synthetic data. We rigorously evaluate its performance in several computer vision benchmarks and demonstrate that it significantly outperforms the state-of-the-art methods. Finally we explore the use of our method in continual learning and neural architecture search and show that it achieves promising gains on a tight budget of memory and computations.",多くの分野の最先端の機械学習方法はより大きなデータセットに依存しているため、それらを保存してモデルをトレーニングすることはより高価になります。このペーパーでは、データセット凝縮と呼ばれるデータ効率の高い学習のためのトレーニングセット合成手法を提案します。これは、ディープニューラルネットワークを最初からトレーニングするために、大きなデータセットを小さなセットの有益なサンプルに凝縮することを学習します。この目標は、元のデータと合成データでトレーニングされたディープニューラルネットワークの勾配間の勾配マッチング問題として定式化されます。いくつかのコンピュータービジョンベンチマークでそのパフォーマンスを厳密に評価し、最先端の方法を大幅に上回っていることを示しています。最後に、継続的な学習とニューラルアーキテクチャの検索での方法の使用を検討し、メモリと計算の厳しい予算で有望な利益を達成することを示します。,8.33,https://d3i71xaburhd42.cloudfront.net/5a94bcc168330318d3020aa4d41bd73cf68ab285/2-Figure1-1.png
Learning Generalizable Visual Representations via Interactive Gameplay,"['Luca Weihs', 'Aniruddha Kembhavi', 'Kiana Ehsani', 'Sarah M Pratt', 'Winson Han', 'Alvaro Herrasti', 'Eric Kolve', 'Dustin Schwenk', 'Roozbeh Mottaghi', 'Ali Farhadi']",https://openreview.net/forum?id=UuchYL8wSZo,"A growing body of research suggests that embodied gameplay, prevalent not just in human cultures but across a variety of animal species including turtles and ravens, is critical in developing the neural flexibility for creative problem solving, decision making, and socialization. Comparatively little is known regarding the impact of embodied gameplay upon artificial agents. While recent work has produced agents proficient in abstract games, these environments are far removed the real world and thus these agents can provide little insight into the advantages of embodied play. Hiding games, such as hide-and-seek, played universally, provide a rich ground for studying the impact of embodied gameplay on representation learning in the context of perspective taking, secret keeping, and false belief understanding. Here we are the first to show that embodied adversarial reinforcement learning agents playing Cache, a variant of hide-and-seek, in a high fidelity, interactive, environment, learn generalizable representations of their observations encoding information such as object permanence, free space, and containment. Moving closer to biologically motivated learning strategies, our agents' representations, enhanced by intentionality and memory, are developed through interaction and play. These results serve as a model for studying how facets of vision develop through interaction, provide an experimental framework for assessing what is learned by artificial agents, and demonstrates the value of moving from large, static, datasets towards experiential, interactive, representation learning.",研究の増加は、人間の文化だけでなく、カメやカラスを含むさまざまな動物種に普及している具体化されたゲームプレイが、創造的な問題解決、意思決定、および社会化のための神経の柔軟性を開発する上で重要であることを示唆しています。人工的なエージェントに対する具体化されたゲームプレイの影響に関しては、比較的ほとんど知られていません。最近の仕事は抽象ゲームに堪能なエージェントを生み出しましたが、これらの環境は現実の世界から遠く離れているため、これらのエージェントは具体化された遊びの利点についてほとんど洞察を提供できません。かくれんぼなどの隠しゲームは、普遍的にプレイされ、視点の取得、秘密の保持、誤った信念の理解のコンテキストで、表現学習に対する具体化されたゲームプレイの影響を研究するための豊富な基盤を提供します。ここでは、ハイドアンドシークの変形であるキャッシュを再生する具体化された敵対的強化学習エージェントが、忠実度の高いインタラクティブな環境で、オブジェクトの永続性、自由空間などの情報をエンコードする観察の一般化可能な表現を学習することを初めて示しました。と封じ込め。生物学的に動機付けられた学習戦略に近づくと、志向性と記憶によって強化されたエージェントの表現は、相互作用と遊びを通して開発されます。これらの結果は、視覚のファセットが相互作用を通じてどのように発達するかを研究するためのモデルとして機能し、人工エージェントによって学習されたものを評価するための実験的フレームワークを提供し、大規模で静的なデータセットから体験的でインタラクティブな表現学習に移行することの価値を示します。,8.25,
Towards Nonlinear Disentanglement in Natural Data with Temporal Sparse Coding,"['David A. Klindt', 'Lukas Schott', 'Yash Sharma', 'Ivan Ustyuzhaninov', 'Wieland Brendel', 'Matthias Bethge', 'Dylan Paiton']",https://openreview.net/forum?id=EbIDjBynYJ8,"Disentangling the underlying generative factors from complex data has so far been limited to carefully constructed scenarios. We propose a path towards natural data by first showing that the statistics of natural data provide enough structure to enable disentanglement, both theoretically and empirically. Specifically, we provide evidence that objects in natural movies undergo transitions that are typically small in magnitude with occasional large jumps, which is characteristic of a temporally sparse distribution. To address this finding we provide a novel proof that relies on a sparse prior on temporally adjacent observations to recover the true latent variables up to permutations and sign flips, directly providing a stronger result than previous work. We show that equipping practical estimation methods with our prior often surpasses the current state-of-the-art on several established benchmark datasets without any impractical assumptions, such as knowledge of the number of changing generative factors. Furthermore, we contribute two new benchmarks, Natural Sprites and KITTI Masks, which integrate the measured natural dynamics to enable disentanglement evaluation with more realistic datasets. We leverage these benchmarks to test our theory, demonstrating improved performance. We also identify non-obvious challenges for current methods in scaling to more natural domains. Taken together our work addresses key issues in disentanglement research for moving towards more natural settings. ",複雑なデータから根本的な生成要因を解きほぐすことは、これまで慎重に構築されたシナリオに限定されていました。自然データの統計が理論的にも経験的にも解きほぐしを可能にするのに十分な構造を提供することを最初に示すことによって、自然データへの道を提案します。具体的には、自然の映画のオブジェクトは、時間的にまばらな分布の特徴である、時折大きなジャンプを伴う通常は大きさが小さい遷移を経るという証拠を提供します。この発見に対処するために、時間的に隣接する観測値のスパース事前確率に依存して、順列と符号反転まで真の潜在変数を回復し、以前の作業よりも強力な結果を直接提供する新しい証明を提供します。実用的な推定方法を以前のものに装備することは、変化する生成要因の数の知識などの非実用的な仮定なしに、いくつかの確立されたベンチマークデータセットの現在の最先端を超えることが多いことを示します。さらに、2つの新しいベンチマーク、NaturalSpritesとKITTIMasksを提供します。これらは、測定された自然のダイナミクスを統合して、より現実的なデータセットで解きほぐしの評価を可能にします。これらのベンチマークを活用して理論をテストし、パフォーマンスの向上を実証します。また、より自然なドメインへのスケーリングにおける現在の方法の非自明な課題を特定します。一緒に私たちの仕事は、より自然な設定に向かって移動するための解きほぐし研究の重要な問題に対処します。,8.25,
On the mapping between Hopfield networks and Restricted Boltzmann Machines,"['Matthew Smart', 'Anton Zilman']",https://openreview.net/forum?id=RGJbergVIoO,"Hopfield networks (HNs) and Restricted Boltzmann Machines (RBMs) are two important models at the interface of statistical physics, machine learning, and neuroscience. Recently, there has been interest in the relationship between HNs and RBMs, due to their similarity under the statistical mechanics formalism. An exact mapping between HNs and RBMs has been previously noted for the special case of orthogonal (“uncorrelated”) encoded patterns. We present here an exact mapping in the general case of correlated pattern HNs, which are more broadly applicable to existing datasets. Specifically, we show that any HN with $N$ binary variables and $p<N$ potentially correlated binary patterns can be transformed into an RBM with $N$ binary visible variables and $p$ gaussian hidden variables. We outline the conditions under which the reverse mapping exists, and conduct experiments on the MNIST dataset which suggest the mapping provides a useful initialization to the RBM weights. We discuss extensions, the potential importance of this correspondence for the training of RBMs, and for understanding the performance of feature extraction methods which utilize RBMs.",ホップフィールドネットワーク（HN）と制限付きボルツマンマシン（RBM）は、統計物理学、機械学習、および神経科学のインターフェースにおける2つの重要なモデルです。最近、統計力学の形式の下での類似性のために、HNとRBMの関係に関心が集まっています。 HNとRBMの間の正確なマッピングは、直交する（相関のない）エンコードされたパターンの特殊なケースについて以前に指摘されています。ここでは、相関パターンHNの一般的なケースでの正確なマッピングを示します。これは、既存のデータセットにより広く適用できます。具体的には、N個のバイナリ変数とp &lt;N個の潜在的に相関するバイナリパターンを持つHNを、N個のバイナリ可視変数とp個のガウス隠れ変数を持つRBMに変換できることを示します。逆マッピングが存在する条件の概要を説明し、MNISTデータセットで実験を行って、マッピングがRBMの重みに有用な初期化を提供することを示唆します。拡張、RBMのトレーニング、およびRBMを利用する特徴抽出方法のパフォーマンスを理解するためのこの対応の潜在的な重要性について説明します。,8.0,https://d3i71xaburhd42.cloudfront.net/593d8f1de69f6f335609e1f0e6b3ae83ce4e3116/3-Figure1-1.png
Learning a Latent Simplex in Input Sparsity Time,"['Ainesh Bakshi', 'Chiranjib Bhattacharyya', 'Ravi Kannan', 'David Woodruff', 'Samson Zhou']",https://openreview.net/forum?id=04LZCAxMSco,"We consider the problem of learning a latent $k$-vertex simplex $K\in\mathbb{R}^d$, given $\mathbf{A}\in\mathbb{R}^{d\times n}$, which can be viewed as $n$ data points that are formed by randomly perturbing some latent points in $K$, possibly beyond $K$. A large class of latent variable models, such as adversarial clustering, mixed membership stochastic block models, and topic models can be cast in this view of learning a latent simplex. Bhattacharyya and Kannan (SODA 2020) give an algorithm for learning such a $k$-vertex latent simplex in time roughly $O(k\cdot\text{nnz}(\mathbf{A}))$, where $\text{nnz}(\mathbf{A})$ is the number of non-zeros in $\mathbf{A}$. We show that the dependence on $k$ in the running time is unnecessary given a natural assumption about the mass of the top $k$ singular values of $\mathbf{A}$, which holds in many of these applications. Further, we show this assumption is necessary, as otherwise an algorithm for learning a latent simplex would imply a better low rank approximation algorithm than what is known. 

We obtain a spectral low-rank approximation to $\mathbf{A}$ in input-sparsity time and show that the column space thus obtained has small $\sin\Theta$ (angular) distance to the right top-$k$ singular space of $\mathbf{A}$. Our algorithm then selects $k$ points in the low-rank  subspace with the largest inner product (in absolute value) with $k$ carefully chosen random vectors. By working in the low-rank subspace, we avoid reading the entire matrix in each iteration and thus circumvent the $\Theta(k\cdot\text{nnz}(\mathbf{A}))$ running time.",AR ^（dn）が与えられた場合、潜在的なk頂点シンプレックスKR ^（d）を学習する問題を検討します。これは、K内のいくつかの潜在点をランダムに摂動することによって形成されるn個のデータ点と見なすことができます。潜在シンプレックスを学習するというこのビューでは、敵対的クラスタリング、混合メンバーシップ確率ブロックモデル、トピックモデルなどの潜在変数モデルの大規模なクラスをキャストできます。 BhattacharyyaとKannan（SODA 2020）は、このようなk頂点の潜在シンプレックスを時間でおよそO（k nnz（A））で学習するためのアルゴリズムを提供します。ここで、nnz（A）はAの非ゼロの数です。これらのアプリケーションの多くに当てはまる、Aの上位k個の特異値の質量に関する自然な仮定を考えると、実行時間のkへの依存は不要です。さらに、潜在シンプレックスを学習するためのアルゴリズムは、既知のものよりも優れた低ランク近似アルゴリズムを意味するため、この仮定が必要であることを示します。入力スパーシティ時間でAのスペクトル低ランク近似を取得し、このようにして得られた列空間がAの右上k個の特異空間に対して小さいsin（角）距離を持っていることを示します。次に、アルゴリズムは低位のk点を選択します。 -慎重に選択されたk個のランダムベクトルを使用して、（絶対値で）最大の内積を持つ部分空間をランク付けします。下位の部分空間で作業することにより、各反復で行列全体を読み取ることを回避し、（k nnz（A））の実行時間を回避します。,8.0,
What Matters for On-Policy Deep Actor-Critic Methods? A Large-Scale Study,"['Marcin Andrychowicz', 'Anton Raichuk', 'Piotr Stańczyk', 'Manu Orsini', 'Sertan Girgin', 'Raphaël Marinier', 'Leonard Hussenot', 'Matthieu Geist', 'Olivier Pietquin', 'Marcin Michalski', 'Sylvain Gelly', 'Olivier Bachem']",https://openreview.net/forum?id=nIAxjsniDzg,"In recent years, reinforcement learning (RL) has been successfully applied to many different continuous control tasks. While RL algorithms are often conceptually simple, their state-of-the-art implementations take numerous low- and high-level design decisions that strongly affect the performance of the resulting agents. Those choices are usually not extensively discussed in the literature, leading to discrepancy between published descriptions of algorithms and their implementations. This makes it hard to attribute progress in RL and slows down overall progress [Engstrom'20]. As a step towards filling that gap, we implement >50 such ``""choices"" in a unified on-policy deep actor-critic framework, allowing us to investigate their impact in a large-scale empirical study. We train over 250'000 agents in five continuous control environments of different complexity and provide insights and practical recommendations for the training of on-policy deep actor-critic RL agents.",近年、強化学習（RL）は多くの異なる連続制御タスクにうまく適用されています。 RLアルゴリズムは概念的に単純であることがよくありますが、それらの最先端の実装は、結果として得られるエージェントのパフォーマンスに大きく影響する多数の低レベルおよび高レベルの設計上の決定を行います。これらの選択は通常、文献で広く議論されておらず、公開されているアルゴリズムの説明とその実装の間に矛盾が生じます。これにより、RLの進行状況を特定することが難しくなり、全体的な進行状況が遅くなります[Engstrom20]。そのギャップを埋めるためのステップとして、統一されたオンポリシーの深いアクター批評フレームワークに50を超えるそのような「選択」を実装し、大規模な実証研究でそれらの影響を調査できるようにします。複雑さの異なる5つの連続制御環境で250000を超えるエージェントをトレーニングし、ポリシーに準拠した深いアクター批評家のRLエージェントのトレーニングに関する洞察と実践的な推奨事項を提供します。,8.0,
Parameterization of Hypercomplex Multiplications,"['Aston Zhang', 'Yi Tay', 'SHUAI Zhang', 'Alvin Chan', 'Anh Tuan Luu', 'Siu Hui', 'Jie Fu']",https://openreview.net/forum?id=rcQdycl0zyk,"Recent works have demonstrated reasonable success of representation learning in hypercomplex space. Specifically, the Hamilton product (4D hypercomplex multiplication) enables learning effective representations while saving up to 75% parameters. However, one key caveat is that hypercomplex space only exists at very few predefined dimensions. This restricts the flexibility of models that leverage hypercomplex multiplications. To this end, we propose parameterizing hypercomplex multiplications, allowing models to learn multiplication rules from data regardless of whether such rules are predefined. As a result, our method not only subsumes the Hamilton product, but also learns to operate on any arbitrary nD hypercomplex space, providing more architectural flexibility. Experiments of applications to LSTM and Transformer on natural language inference, machine translation, text style transfer, and subject verb agreement demonstrate architectural flexibility and effectiveness of the proposed approach.",最近の研究は、超複雑な空間での表現学習の合理的な成功を示しています。具体的には、ハミルトン積（4D多元数乗算）により、最大75を節約しながら、効果的な表現を学習できます。,8.0,
Theoretical Analysis of Self-Training with Deep Networks on Unlabeled Data,"['Colin Wei', 'Kendrick Shen', 'Yining Chen', 'Tengyu Ma']",https://openreview.net/forum?id=rC8sJ4i6kaH,"Self-training algorithms, which train a model to fit pseudolabels predicted by another previously-learned model, have been very successful for learning with unlabeled data using neural networks. However, the current theoretical understanding of self-training only applies to linear models. This work provides a unified theoretical analysis of self-training with deep networks for semi-supervised learning, unsupervised domain adaptation, and unsupervised learning. At the core of our analysis is a simple but realistic ``""expansion"" assumption, which states that a low-probability subset of the data must expand to a neighborhood with large probability relative to the subset. We also assume that neighborhoods of examples in different classes have minimal overlap. We prove that under these assumptions, the minimizers of population objectives based on self-training and input-consistency regularization will achieve high accuracy with respect to ground-truth labels. By using off-the-shelf generalization bounds, we immediately convert this result to sample complexity guarantees for neural nets that are polynomial in the margin and Lipschitzness. Our results help explain the empirical successes of recently proposed self-training algorithms which use input consistency regularization.",以前に学習した別のモデルによって予測された疑似ラベルに適合するようにモデルをトレーニングする自己トレーニングアルゴリズムは、ニューラルネットワークを使用したラベルなしデータでの学習に非常に成功しています。ただし、セルフトレーニングの現在の理論的理解は線形モデルにのみ適用されます。この作業は、半教師あり学習、教師なしドメイン適応、および教師なし学習のための深いネットワークを使用した自己トレーニングの統一された理論的分析を提供します。分析の中核となるのは、単純ですが現実的な「拡張」の仮定です。これは、データの確率の低いサブセットが、サブセットに比べて確率の高い近隣に拡張する必要があることを示しています。また、異なるクラスの例の近傍の重複は最小限であると想定しています。これらの仮定の下で、自己訓練と入力整合性の正則化に基づく人口目標の最小化は、グラウンドトゥルースラベルに関して高精度を達成することを証明します。既製の一般化境界を使用することにより、この結果を、マージンとリプシッツネスで多項式であるニューラルネットのサンプルの複雑さの保証にすぐに変換します。私たちの結果は、入力整合性の正則化を使用する最近提案された自己トレーニングアルゴリズムの経験的な成功を説明するのに役立ちます。,8.0,https://d3i71xaburhd42.cloudfront.net/481c2580f4647ee1fa9c6d7b8a07a23a25c79538/3-Figure1-1.png
Score-Based Generative Modeling through Stochastic Differential Equations,"['Yang Song', 'Jascha Sohl-Dickstein', 'Diederik P Kingma', 'Abhishek Kumar', 'Stefano Ermon', 'Ben Poole']",https://openreview.net/forum?id=PxTIG12RRHS,"Creating noise from data is easy; creating data from noise is generative modeling. We present a stochastic differential equation (SDE) that smoothly transforms a complex data distribution to a known prior distribution by slowly injecting noise, and a corresponding reverse-time SDE that transforms the prior distribution back into the data distribution by slowly removing the noise. Crucially, the reverse-time SDE depends only on the time-dependent gradient field (a.k.a., score) of the perturbed data distribution. By leveraging advances in score-based generative modeling, we can accurately estimate these scores with neural networks, and use numerical SDE solvers to generate samples. We show that this framework encapsulates previous approaches in diffusion probabilistic modeling and score-based generative modeling, and allows for new sampling procedures. In particular, we introduce a predictor-corrector framework to correct errors in the evolution of the discretized reverse-time SDE. We also derive an equivalent neural ODE that samples from the same distribution as the SDE, which enables exact likelihood computation, and improved sampling efficiency. In addition, our framework enables conditional generation with an unconditional model, as we demonstrate with experiments on class-conditional generation, image inpainting, and colorization. Combined with multiple architectural improvements, we achieve record-breaking performance for unconditional image generation on CIFAR-10 with an Inception score of 9.89 and FID of 2.20, a competitive likelihood of 3.10 bits/dim, and demonstrate high fidelity generation of $1024\times 1024$ images for the first time from a score-based generative model.",データからノイズを作成するのは簡単です。ノイズからデータを作成することは生成モデリングです。ノイズをゆっくりと注入することによって複雑なデータ分布を既知の事前分布にスムーズに変換する確率微分方程式（SDE）と、ノイズをゆっくりと除去することによって事前分布をデータ分布に戻す対応する逆時間SDEを示します。重要なことに、逆時間SDEは、摂動されたデータ分布の時間依存勾配フィールド（別名、スコア）のみに依存します。スコアベースの生成モデリングの進歩を活用することで、ニューラルネットワークでこれらのスコアを正確に推定し、数値SDEソルバーを使用してサンプルを生成できます。このフレームワークが拡散確率モデリングとスコアベースの生成モデリングにおける以前のアプローチをカプセル化し、新しいサンプリング手順を可能にすることを示します。特に、離散化された逆時間SDEの進化におけるエラーを修正するための予測子修正子フレームワークを導入します。また、SDEと同じ分布からサンプリングする同等のニューラルODEを導出します。これにより、正確な尤度計算が可能になり、サンプリング効率が向上します。さらに、クラス条件付き生成、画像の修復、および色付けの実験で示すように、フレームワークでは無条件モデルを使用した条件付き生成が可能です。複数のアーキテクチャの改善と組み合わせることで、CIFAR-10での無条件の画像生成で記録的なパフォーマンスを達成します。開始スコアは9.89、FIDは2.20、競争力は3.10ビット/ dimであり、10241024画像の高忠実度生成を実証します。スコアベースの生成モデルから初めて。,8.0,https://d3i71xaburhd42.cloudfront.net/633e2fbfc0b21e959a244100937c5853afca4853/2-Figure1-1.png
